id,rulepack,rule_src,type_id,name,description,tags,kc,classification,threat_def,mitre_attackids,query,distinguishers,deleted,hidden,rf_rule,enabled,alert,revisions,risk,create_date,update_date,disabled_reason,tuned,tuningSearch,tuningEventsThreshold,tuningSecondsThreshold,customer_id,weblink,mitre_tactics,severity,confidence,count,extra_f1,extra_f2,threatvector,os,eventids,threattype,ruletype,Commnets,Categorization,Metadata_update,Rule Count before,Rule Count After,Tags,RA - investigate,RA - contain,RA - remediate
1.1.3141,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [User Enumeration],"This rule looks for several ""unknown user"" failures from one source within a short time period. This could indicate user enumeration reconnaissance activity.","okta,auth,mfa,2fa,Discovery,Account Discovery,T1087,Cloud Account,T1087.004,md-info",NA,Methodology,Methodology,"T1087,T1087.004","class=okta eventtype=user.session.start reason=[`unknown user`,`unknown_user`] NOT srcipv4:$exclusions.global.srcipv4","srcipv4,srcipv6",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3141,Discovery,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone native,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior",4.1.1,4.2.1,4.3.2
1.1.3142,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Threat Detected],Okta detected a security threat. Details can be found in the raw log.,"okta,md-info",NA,Methodology,Methodology,NA,class=okta eventtype=security.threat.detected NOT srcipv4:$exclusions.global.srcipv4,"srcipv4,srcipv6",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3142,NA,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,3.1.4,"3.2.4, 3.2.5","3.3.1, 3.3.3"
1.1.3838,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [User Impersonation],"This rule looks for any user impersonation attempts observed in the environment. This activity is unlikely to be performed, unless it is for the business. Check the legitimacy of the activity.","okta,auth,mfa,2fa,Discovery,Account Discovery,T1087,Cloud Account,T1087.004,md-info",NA,Methodology,Methodology,"T1087,T1087.004",class=okta eventtype:`user.session.impersonation` NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3838,Discovery,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,4.1.1,4.2.2,"4.3.1, 4.3.2"
1.1.3958,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Suspicious Activity Reported By User],"This rule looks for a ""user.account.report_suspicious_activity_by_enduser"" event in Okta logs. Generally, only Okta users report suspicious activity. If this rule triggers an alert for other users, those users could have escalated privileges and could be performing unauthorized activity.","okta,auth,mfa,2fa,Okta,Defense Evasion,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,md-action",NA,Methodology,Methodology,T1078,class:okta eventtype:`user.account.report_suspicious_activity_by_enduser` NOT srcipv4:$exclusions.global.srcipv4,"username,srcipv4",FALSE,FALSE,FALSE,TRUE,ON,1,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3958,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",High,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,"4.1.1, 4.1.2",4.2.2,"4.3.1, 4.3.2"
1.1.3959,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Policy Rule Modified],"This alert triggers off of the ""policy.rule.delete"", ""policy.rule.update"", ""policy.rule.deactivate"" or ""policy.rule.invalidate"" events from Okta. This would indicate a modification to the security policies applied to your Okta environment. This could be legitimate activity done by an authorized admin however it should be verified.","okta,auth,mfa,2fa,Defense Evasion,Impair Defenses,T1562,md-info",NA,Methodology,Methodology,T1562,"class:okta eventtype:[`policy.rule.update`,`policy.rule.delete`,`policy.rule.deactivate`,`policy.rule.invalidate`] NOT srcipv4:$exclusions.global.srcipv4","actor,target",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3959,Defense Evasion,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,"4.1.1, 4.1.2",4.2.2,"4.3.1, 4.3.2"
1.1.3960,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Application Modified],"This alert triggers off of the ""application.lifecycle.update"" or ""application.lifecycle.delete"" events from Okta. These events will trigger on modification or deletion of apps within your Okta environment. This activity should only be done by authorized admins.","okta,auth,mfa,2fa,Credential Access,Defense Evasion,Persistence,Modify Authentication Process,T1556,md-info",NA,Methodology,Methodology,T1556,"class:okta eventtype:[`application.lifecycle.update`,`application.lifecycle.delete`] NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,OFF,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3960,"Credential Access,Defense Evasion,Persistence",Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,"4.1.1, 4.1.2",4.2.2,"4.3.1, 4.3.2"
1.1.3964,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Application Sign On Policy Modified],"This alert triggers off of ""application.policy.sign_on.update"" or ""application.policy.sign_on.rule.delete"" event from the Okta logs. An adversary may attempt to modify or remove these policies to weaken or remove your security controls. If there are policies that are regularly modified they should be excluded.","okta,auth,mfa,2fa,Credential Access,Defense Evasion,Persistence,Modify Authentication Process,T1556,md-info",NA,Methodology,Methodology,T1556,"class:okta eventtype:[`application.policy.sign_on.update`,`application.policy.sign_on.rule.delete`] NOT srcipv4:$exclusions.global.srcipv4","target,username",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3964,"Credential Access,Defense Evasion,Persistence",Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,"4.1.1, 4.1.2",4.2.2,"4.3.1, 4.3.2"
1.1.3965,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Possible DOS],This event triggers off of rate limit violation events from Okta. This could indicate an adversary attempting the DOS attack your Okta environment to cause an impact to normal business functions.,"okta,auth,mfa,2fa,Impact,Network Denial of Service,T1498,md-info",NA,Methodology,Methodology,T1498,"class:okta eventtype:[`application.integration.rate_limit_exceeded`,`system.org.rate_limit.violation`,`core.concurrency.org.limit.violation`] has:srcipv4 NOT srcipv4:$exclusions.global.srcipv4","username,srcipv4",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3965,Impact,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,3.1.2,3.2.1,"3.3.1, 3.3.2"
1.1.4122,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Phishing Detected via FastPass],"This rule looks for the adversary-in-the-middle(AiTM) phishing attempt activity, observed by the Okta's Passwordless solution known as FastPass.","okta,auth,mfa,2fa,Collection,Credential Access,Adversary-in-the-Middle,T1557,md-info",Delivery,Methodology,Methodology,T1557,class=okta eventtype=user.authentication.auth_via_mfa result=failure reason:`fastPass declined phishing attempt` NOT srcipv4:$exclusions.global.srcipv4,"username,targetusername",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4122,"Collection,Credential Access",Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,"4.1.1, 4.1.2",4.2.2,"4.3.1, 4.3.2"
1.1.4123,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [New Behavior Detected on Admin Console],This rule looks for change in the behavior of any user accessing the Okta Admin Console. This change is detected as per the Okta's behavior detection system. Refer the infoLinks given for more details.,"okta,auth,mfa,2fa,md-info",Act,Methodology,Methodology,NA,class=okta eventtype=policy.evaluate_sign_on has(behavior) target=`okta admin console` NOT srcipv4:$exclusions.global.srcipv4,"username,targetusername",FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4123,NA,Low,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,"4.1.1, 4.1.2",4.2.2,"4.3.1, 4.3.2"
1.1.4124,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Identity Provider Created],This rule looks for the successful creation of an Identity Provider. Identity Providers(IdP) are services that manage user accounts in Okta. Adding IdPs may enable the end users to self-register with their custom applications. More details can be found in the infoLinks given.,"okta,auth,mfa,2fa,md-info",NA,Methodology,Methodology,NA,class=okta eventtype=`system.idp.lifecycle.create` NOT srcipv4:$exclusions.global.srcipv4,"username,targetusername",FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4124,NA,Low,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,"4.1.1, 4.1.2",4.2.2,"4.3.1, 4.3.2"
1.1.4128,Vendor - Okta,internal,5c66d3d8-6855-43ad-9d8d-c97c1e4ed6bd,OKTA [Sign-In Attempts Via Anonymous Proxy Servers],This rule looks for sign in attempts made by a user using anonymous proxy servers. This change is detected as per the Okta's behavior detection system. Refer the infoLinks given for more details.,"okta,auth,mfa,2fa,Command and Control,Proxy,T1090,md-info",Act,Methodology,Methodology,T1090,class:okta eventtype:user.session.start sessiontype:true NOT srcipv4:$exclusions.global.srcipv4,"username,targetusername",FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.4128,Command and Control,Low,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,standalone proxy rules,,,,passthrough: Okta,"4.1.1, 4.1.2",4.2.2,"4.3.1, 4.3.2"
